"Fecha ","Total de pasos","Total minutos actividad física","Total Calorías Quemadas"
"Julio 2019","42,588","410","2,026"
"Agosto 2019","231,239","2,295","10,809"
"Septiembre 2019","212,163","2,101","10,088"
"Ocubre 2019","249,124","2,476","10,965"
"Noviembre 2019","218,787","2,156","9,329"
"Diciembre 2019","145,916","1,473","5,906"
"Enero 2020","188.126","1,861","8,104"
"Febrer 2020","189,863","1,928","7,631"
"Marzo 2020","100,224","1,004","4,132"
"Abril 2020","29,447","304","1,226"
"Mayo 2020","42,224","435","1,745"
"Junio 2020","35,269","373","1450"
"Julio 2020","43,570","456","1,820"
"Agosto 2020","46,862","484","1,792"
"Septiembre 2020","37,908","385","1,416"
"Octubre 2020","54,574","563","2,090"
"Noviembre 2020","94,223","969","3,604"
"Diciembre 2020","100,272","1,009","4,105"
"Enero 2021","141,382","1,424","5,924"
"Febrero 2021","141,577","1,418","6,268"
"Marzo 2021","111,023","1,048","5,530"
"Abril 2021","51,771","514","2,255"
"Mayo 2021","82,378","820","3,445"
"Junio 2021","84,656","620","3,495"
"Julio 2021","85,271","603","2,805"
"Agosto 2021","414","3","16"
"Septiembre 2021","","",""
"Octubre 2021","6371","64","260"
"Noviembre 2021","","",""
"Diciembre 2021","","",""
"Enero 2022","","",""
"Febrero 2022","38,712","404","1,707"
"Marzo 2022","289,455","2,927","11,829"
"Abril 2022","195,286","1,973","7,999"
"Mayo 2022","244,591","2,505","9,966"
"Junio 2022","251,982","2,545","10,311"
"Julio 2022","238,828","2,450","9,772"
"Agosto 2022","312,828","3,180","12,784"
"Septiembre 2022","181,225","1,819","7,704"
"Octubre 2022","32","0","1"
"Noviembre 2022","237,823","2,388","9,781"
"Diciembre 2022","355,132","3,599","15,040"
"Enero 2023","341,401","3,504","14,005"
"Febrero 2023","283,903","2,939","11,853"
"Marzo 2023","270,738","2,684","11,477"
"Abril 2023","242,280","2,455","10,020"
"Mayo 2023","328,829","3,292","13,743"
"Junio 2023","227,601","2,293","9,543"
"Julio 2023","185,112","1,823","8,419"
"Agosto 2023","366,567","3,677","14,950"
"Septiembre 2023","305,774","3,093","12,435"
